推荐人ID,推荐课程名称,授课老师,课程对应专业,课程所在平台,跳转链接,推荐人专业,推荐语,推荐日期
氺来,货币金融学,谢绵陛,金融学,中国大学mooc,https://www.icourse163.org/course/preview/jmu-1206689809/?tid=1207020210,金融学,可以为金融学建立基本框架，很适合作为入门课程,2021年2月11日
男神的气质,混凝土结构基本原理,顾祥林,土木工程,中国大学MOOC,https://www.icourse163.org/course/TONGJI-53003,土木工程,,2021年1月17日
小齐全全,混凝土结构基本原理,顾祥林,混凝土结构基本原理,B站（大学公开课）,BV1EW411A7cR,土木工程,,2021年2月6日
MOUSEAT,混沌动力学基础,郝柏林,物理,B站（大学公开课）,BV1FW41157zW,化学,差点就成为朗道学生的中国院士,2021年2月9日
东方月圆,绘画教程,b站up主至尚君,绘画,B站up主官方号,https://b23.tv/sPrVtG,动漫,绘画教程 很良心,2021年1月19日
东方月圆,绘画教程,b站upKrenz,绘画,B站up主官方号,https://b23.tv/A9vKok,动漫,绘画教程 懂的都懂,2021年1月19日
东方月圆,绘画教程,b站up插画设计师-西瓜,绘画,B站up主官方号,https://b23.tv/2PDeSX,动漫,procreate绘画教程 零基础,2021年1月19日
HelloMorld,汇编语言程序设计,钱晓捷、张青,计算机科学与技术,中国大学MOOC,https://www.icourse163.org/course/ZZU-1001796025?tid=1206810211,计算机科学与技术,讲解清晰，循序渐进，没有废话。,2021年2月9日
雪,化工热力学,冯新,化工热力学（化学工程分支）,B站/MOOC都有,https://www.icourse163.org/course/NJTECH-1001752212,化工,博士生导师，推荐的这门课是老师上课期间录制的，讲得很好。学校里江苏省化工热力学教材就是她主编的,2021年2月8日
云慢慢,红楼梦,欧丽娟,汉语言文学,台湾大学公开课,http://ocw.aca.ntu.edu.tw/ntu-ocw/index.php/ocw/cou/101S120/7,汉语言文学,讲解内容有深度，可以引发我们新思路,2021年1月19日
龍渊,宏观经济学二十五讲,徐高,经济学,B站官方账号,https://www.bilibili.com/video/BV1oE411Z7TU?from=search&seid=13937971863718057561,经济学,建议首先学习初级宏观，然后本课，然后中级宏观，会让你在理论和实践上有较深理解,2021年2月9日
香菜不吃葱,宏观经济学,北大光华教授唐遥,经济学,bilibili,https://www.bilibili.com/video/BV1tJ411z7x2,经管,,2021年3月1日
JiangNanjiu江南九,宏观经济学,叶航,经济系,B站,,经济学,,2021年3月15日
它魔亓,宏觀經濟學,小卷毛愛學習,宏觀經濟學,B站up主,https://b23.tv/jDlRZO,國際經濟與貿易,相信我，老師講的沒聽懂，她講的特別清晰，一定可以听懂,2021年2月9日
穷开心,好玩的广告学,汤志耘,广告学,中国大学mooc,直接搜索即可,广告学,专业老师推荐，讲述清晰有趣,2021年1月18日
哔哩哔哩首席执刑官,行为经济学,孟涓涓,经济学,爱课程,https://www.icourse163.org/course/PKU-1002618003,经济学,好好学习，天天向上,2021年2月25日
香菜不吃葱,行为经济学,北大光华教授孟涓涓,经济学,bilibili,https://www.bilibili.com/video/BV1xJ411z7Ln,经管,,2021年3月1日
不想学习书法的书法生,行草篆隶,陈建忠书法学堂,书法学,B站up主,https://b23.tv/AGgSS0,书法学,书法普及大师，业余的可以跟着学,2021年2月9日
十五的月亮十六袁,光学,物理系的允文君,光学,b站up主,https://www.bilibili.com/video/BV1mx41137dQ,大学物理,分享的网址只有绪论，其他优质课程在他个人主页里找,2021年2月9日
SNOWIOR,固体物理学,李丹 刘斌,大学物理,MOOC,https://www.icourse163.org/course/NJTU-1207232804?tid=1207572205,物理学,讲的比较基础，但是能对固体物理及半导体，凝聚态的基础知识有一定的了解,2021年2月9日
kkkllkkkk,古典油画静物,沈若,古典油画,b站官方账号,BV18x411L7V5,艺术学,视频氛围安静，知识详细，讲解的素描关系的建立,2021年2月10日
云慢慢,古代文论,杨宁老师,汉语言文学,官方B站号,搜up主：西竹书院 杨宁老师,汉语言文学,思路清晰，语言明白易懂,2021年1月19日
小小哇哇,古代汉语,胡安顺老师,汉语言文学,爱课程,http://www.icourses.cn/sCourse/course_7300.html,汉语言文学,很棒,2021年1月19日
张紫溟,古代汉语,高小方,古代汉语,超星学习通,直接搜索,汉语言文学,南派古代汉语代表人物，著《古代汉语》,2021年2月7日
法学透明仔,公正该如何是好,迈克尔·桑德尔,哲学,网易公开课,https://open.163.com/newview/movie/free?pid=FEV4G1NN0&mid=VEV4G1NQ3,法学,非常有深度，对法学学习启发有一定作用（难度较高）,2021年1月16日
青山不老asdf,工程热力学,史琳,热能工程系工程热物理,,,,,2021年8月24日
东方月圆,各种绘画教程,b站up主抖抖村,绘画,B站up主官方号,直接搜,动漫,我相信绘画界大概都知道,2021年1月19日
一枚千纸鹤,高数叔,高数叔,高等数学,b站官方账号,高数叔,电子信息工程,简洁明了，通俗易懂，理科不那么好的童鞋比较适用,2021年1月18日
天选之子dys,高数,梨米特考研数学,高数,B站官方账号,,信息管理与信息系统,老师讲课清晰明了，例题典型，并且还有总结，值得一看,2021年2月8日
yi_zhi,高等数学/线性代数,宋浩,高等数学/线性代数,B站官方账号,,信息与计算科学,上课比较有趣，讲的也很清楚，抽象概念便于理解。,2021年2月8日
Pluto11122,高等数学,宋浩,高等数学,B站官方账号,,电子信息工程,,2021年2月10日
每天都要努力鸭,高等数学,宋浩,高等数学,B站官方账号,,国际商务,清晰易懂，幽默可爱,2021年1月16日
东云,高等数学,乐经良,高等数学,爱课程,http://www.icourses.cn/sCourse/course_7182.html,英语翻译,详细，干货多，难度略高,2021年1月16日
临床渣渣,高等数学,宋浩,高等数学,B站官方账号,,临床医学,实用性高,2021年1月16日
Summit酱,高等数学,宋浩,高等数学,B站官方账号,,计算机科学与技术,学校老师的听不懂，但宋浩的能听懂,2021年1月17日
努力的星子,高等数学,宋浩,高等数学,B站官方账号,直接在B站搜索宋浩老师,教育学类,大学四年高数不发愁，本人亲身体验,2021年1月18日
霁夜呐,高等数学,b站up李大意儿,高等数学,B站up主官方号,直接搜,软工,讲得很生动,2021年1月19日
吃货阿振,高等数学,乐经良,高等数学,爱课程,http://www.icourses.cn/sCourse/course_7182.html,通识,乐老师讲的很易懂，不过有些地方要思索一下，不过对于许多人来说都不是很难，当然当中有些题目不适合我们做，也有些题目没有答案，不过乐老师对于整个高数的理解，对于题目的理解都不是一般老师能达到的，通过乐老师学习，对于学习高数来说不再是死记硬背和做题。,2021年1月21日
懒癌晚期,高等数学,宋浩,高等数学,B站官方账号,https://www.bilibili.com/video/BV1Eb411u7Fw,飞机机电维修,简单易懂，重视基础,2021年2月2日
Hiccup,高等数学,樊顺厚,
高等数学,学习通,https://ssvideo.superlib.com/api/video/play/mobile?seriesid=4705&vid=90624&sign=videoplay_faxian&enc=79e2e065ddfc181eae0f72f8d1df8f15&appId=1000,高等数学,这位老师上课不用PPT！不用PPT！不用PPT！,2021年2月8日
梅零落,高等数学,乐经良,高等数学,爱课程,http://www.icourses.cn/sCourse/course_7182.html,水土保持与荒漠化防治,,2021年2月8日
这纱原叫月影纱,高等数学,宋浩,微积分,B站官方账号,https://b23.tv/L44xHf,工商管理,老师讲解细致，幽默风趣，高数全靠这位老师了,2021年2月9日
住在海边XXX,高等代数,乐乐老师的网络课堂,高等代数,B站官方账号,,统计,详略得当，突出重点，适合课上听得云里雾里然后回去自学,2021年1月17日
学到头秃才算完,分析化学,李发美,药学,自学社,http://www.zxshe.com/download/view-software-2790.html,药学,预习复习分析化学的小伙伴们，看他,2021年2月9日
猪猪侠,非线性控制,诸兵,控制,b站官方账号,https://www.bilibili.com/video/BV1a7411j7cX,控制工程,非线性控制 老师板书推导,2021年2月9日
黄芽,方剂学,邓中甲,中医学,知盈,http://v.knowwing.com/special/details/2.html,中医学,,2021年2月9日
全网通缉在逃ing,法语入门系列,法语二师兄,法语,B站up主,https://space.bilibili.com/173544438/channel/detail?cid=20072,汉语言文学,,2021年2月9日
沧浪水,法理学,苏力（朱苏力）,法理学,B站(大学公开课）,BV1Ms411y7vG,法学,本科法学教育，同时融汇经济、政治、历史学,2021年2月9日
柳宇风殇,电路原理A,于锌杰,电路,国家精品课,http://www.icourses.cn/sCourse/course_2980.html,电子信息工程,清华老师授课，通俗易懂，为数电模电打下坚实基础,2021年2月9日
十五的月亮十六袁,电磁学,物理系的允文君,电磁学,b站up主,https://www.bilibili.com/video/BV18x411Q7hf,大学物理,分享的网址只有绪论，其他优质课程在他个人主页里找,2021年2月9日
南望山人,地史学,龚一鸣等老师,地质学,爱课程,http://www.icourses.cn/sCourse/course_3299.html#,地质学,国家精品课程，中国地质大学地质学专业的核心课程,2021年2月10日
Tian.H,大学生力学竞赛-材料力学,胡益平,材料力学,中国大学MOOC,,工程力学,对今年参加力学竞赛的同学有直接帮助；其他学习材料力学的同学通过这门课可以对材力有完全不不一样的理解！,2021年2月10日
-XXAY-,python,大西瓜老师,,B站官方账号,BV1ex411x7Em,生信,可以说对新手是十分友好了 不能再友好了 十分适合入门,2021年1月17日
南风圣光,PhotoShop,Nemanja Sekulic,设计,虎课网,https://huke88.com/teacher/3104534.html,推荐课程与本人专业无关,这门课不仅能够学到很多PS的使用技巧，更重要的是老师的想象力天马行空，可以给我们很多的启发，顺便还能练练英语听力,2021年1月17日
嘟嘟噜1999,PCB,凡亿教育,AD2020 PCB画图,B站官方账号,https://space.bilibili.com/11979252,电子信息工程,老师讲的纯小白可以学，老师用的是AD2020，入门AD十分好,2021年2月9日
Anarcho-communist,Nico's Weg,,德语,德国之声德语角,https://learngerman.dw.com/en/overview,自动化,从字母到B2都有，视频和练习结合，视频不死板，很贴近实际，练习的种类也很多，需要翻墙,2021年2月9日
风-城-烟-雨,Java0基础教程_Java零基础入门到精通Ⅰ,阿拓老师,计算机编程语言,B站up主,,Java基础,阿拓老师讲的Java基础非常的透彻，非常的全面，是一个体系的，很建议新手入门，特别是对Java有恐惧症的！！,2021年2月10日
风-城-烟-雨,java数据结构与算法,**,数据结构,B站up主,https://www.bilibili.com/video/BV1E4411H73v,java数据结构与算法,为数据不多的使用java来实现数据结构和算法问题的。,2021年2月10日
蓝盖蓝瓶的盖,JAVA全栈开发,遇见狂神说,JAVA全栈工程师,B站up本人,https://www.bilibili.com/read/cv5702420,软件技术,适合零基础小白，快速入门，并且进阶！且有其团队设计的学习网站https://www.kuangstudy.com/，完全免费！相当于免费加入一个培训班！,2021年2月9日
smastars,Java零基础教程视频（适合Java 0基础，Java初学入门）,老杜,JAVA编程,B站官方账号,https://www.bilibili.com/video/BV1Rx411876f,软件工程,喜欢车轱辘辗脸 有趣且细节 推荐qwq,2021年2月9日
软软不是軟軟,Java程序设计,翁恺,计算机,中国大学MOOC,https://www.icourse163.org/course/ZJU-1001541001,计算机科学与技术,最开始是mooc平台上，但是现在找不到了，b站恰好还有资源，翁恺是我最喜欢的老师之一,2021年2月9日
smastars,Java_Java零基础进阶必备视频教程（适合Java基础，Java入门,老杜,JAVA编程,B站官方账号,https://www.bilibili.com/video/BV1mE411x7Wt,软件工程,喜欢车轱辘辗脸 有趣且细节 推荐qwq,2021年2月9日
为了闭关修炼换个名字,JAVA web 网站,颜群,java web,b站官方账号,https://b23.tv/ANgkm9,软件技术,我的web启蒙老师,2021年1月16日
Doubllllllz,Intro to Database Systems,,数据库,B站,https://b23.tv/Y8yHSI,软件工程,,2021年2月9日
墙角的青苔,interaction-techniques,Scott Klemmer,交互设计,coursera(国外公开课平台,https://www.coursera.org/learn/interaction-techniques?specialization=interaction-design,交互设计与运营,这章挺重要的，会有交互设计专业独有的理论知识,2021年2月9日
墙角的青苔,interaction-design-capstone,Scott Klemmer,交互设计,coursera(国外公开课平台,https://www.coursera.org/learn/interaction-design-capstone,交互设计与运营,从头到尾给你梳理一遍整个流程,2021年2月9日
墙角的青苔,infodesign,Scott Klemmer,交互设计,coursera(国外公开课平台,https://www.coursera.org/learn/infodesign#about,交互设计与运营,原型、布局之类的,2021年2月9日
墙角的青苔,human-computer-interactionan：Introduction,Scott Klemmer,交互设计,coursera(国外公开课平台,https://www.coursera.org/learn/human-computer-interaction?specialization=interaction-design,交互设计与运营,加利福尼亚大学交互设计的课程，总共八个覆盖的十分全面。整体比较理论学院派的风格，不像之前几个介绍的实操性那么强，更多是强调思维方面的内容，想进入这行的话建议可以看看，b站没上传但coursera有中文字幕，注册点旁听即可。如果想深入研究的话，可以尝试去了解认知科学方面的内容,2021年2月9日
cola,Hadoop,黑马程序员,Hadoop,B站官方账号,http://stu.ityxb.com,数据科学与大数据技术,各类课都有跟着学就能会,2021年2月9日
zeuswe,GAMES101-现代计算机图形学入门,闫令琪,计算机图形学,B站官方账号,BV1X7411F744,计算机技术,讲解十分精彩的计算机图形学入门课程,2021年2月9日
无缝苍蝇不叮蛋,佛教文化,高文强,国学,中国大学mooc,,生物技术,有趣的通识课程，在有限的时间内尽可能梳理佛学的兴衰及各个流派，对于完全的佛学门外汉来说，可以迅速对佛学建立起一个大体框架,2021年1月28日
-XXAY-,分子生物学,郑老师,分子生物,中国大学MOOC（第一次开课可看）,http://www.icourse163.org/course/NJU-1207105805?tid=1207475213,生信,老师讲的比较生动形象,2021年1月17日
秋日里鱼肥,方言与中国文化,阮桂君,汉语方言学,中国大学MOOC,http://163.lu/ZRIgk1,旅游管理,,2021年1月18日
月神~小白兔,俄罗斯与核军控,Andrey Pavlov, Anastasia Malygina,军控,Coursera,coursera.org/learn/russia-and-nuclear-arms-control,国际关系,很好的核军控入门课，授课语言是英文，尚未看见中文字幕。,2021年1月24日
努力啊大正思,对外经济贸易大学《经济学导论》,施丹,管理学,B站,https://www.bilibili.com/video/BV1wD4y1U7p8,经济管理,贸大精品课！,2021年1月16日
努力啊大正思,对外经济贸易大学《货币金融学》,蒋先玲,管理学,B站,https://www.bilibili.com/video/BV1nK4y1v7Bv,经济管理,贸大精品课！,2021年1月16日
努力啊大正思,对外经济贸易大学《财务报表分析》,张新民、钱爱民,管理学,B站,https://www.bilibili.com/video/BV1Jo4y1f7j3,经济管理,贸大精品课！,2021年1月16日
羊驼Abigial,动力气象,,动力气象,中国大学MOOC,https://www.icourse163.org/course/NJU-1003608005,大气科学,该课程较清晰细致的讲解了动力气象的许多重要概念及理论，虽然依旧是比较难理解的内容，但老师们的讲解十分专业，为理解提供了许多帮助,2021年2月8日
Kyleffv,电子模拟电子技术,郑益慧,电子信息,B站,,电子电气工程,老师认真负责，深入浅出,2021年2月10日
柳宇风殇,电子技术基础 模拟部分（第五版）,张林,电气,B站（资源共享课）,https://www.bilibili.com/video/BV1cW411o7jX?from=search&seid=14580191881742056627,电子信息工程,该书试用于华中科大康华光老师编写使用，目前B站授课只有第五版，陆续有第六版课程我会关注,2021年2月9日
夏和半山,电力电子技术,西瓜粥西瓜粥,电力电子技术,B站官方账号,https://www.bilibili.com/video/BV1C7411E7Ww,自动化,细节，清晰，理解深刻,2021年2月8日
西窗残荷,地理信息系统（GIS）实验,汤国安,GIS、城乡规划,中国大学MOOC,http://163.lu/DmPa52,城乡规划,GIS基础操作,2021年2月9日
月光宝盒101,道路勘测设计,程建川、卞凤兰、于斌、刘洪波、陈飞,道路与铁路工程,b站,https://www.bilibili.com/video/BV1o84y1F7CR,道路勘测设计,王牌专业王牌课阿,2021年6月7日
自在如风的少年lc,单片机原理与应用,戴胜华,单片机,中国MOOC课,https://www.icourse163.org/course/NJTU-1001729006,机械,作为单片机的入门者，在浏览众多单片机课程后，这门课程讲解最为清晰，逻辑强，缺点是课程剪辑比较碎片化，不过在中国大学MOOC上最新的慕课开始把完整版也列出了，是单片机入门的不二选择,2021年2月11日
天気,代谢生物化学,杨荣武,生物科学,中国大学MOOC,https://www.icourse163.org/course/NJU-1207453804,生物技术,超优质生化课程资源，老师讲解得很清晰而且很有趣,2021年1月18日
Eva,带你学c带你飞,鱼c-小甲鱼,c语言,b站官方账号,先搜up主再搜c,土木工程,思路清楚易懂,2021年1月19日
,带你学c带你飞,b站鱼C-小甲鱼,c语言,b站up主,BV17s411N78s,信息管理与信息系统,课堂比较活泼有趣，然后课上也会敲代码演示,2021年2月9日
东方月圆,代表作《入海》《啥是佩奇》等,b站up主迷一样的剪辑师,剪辑师,B站up主官方号,直接搜,剪辑,干货颇多,2021年1月19日
天気,大学物理,马文蔚,物理学,爱课程,http://www.icourses.cn/sCourse/course_7032.html,生物技术,期末救星，全靠他上了90，而且老师讲解很详细，基础不太好的也能听得懂,2021年1月18日
世界现存最可爱人类,大学物理,同济大学多位教师,物理,中国大学MOOC,,数据科学与大数据技术,一节课十几二十分钟 清晰易懂（量子力学那两章的老师讲的不太好） 非常适合考前临时抱佛脚以及课前预习,2021年2月8日
小问号有很多问号,大学物理,马东蔚,大学物理,B站/中国慕课,http://www.icourses.cn/sCourse/course_7032.html,园艺,吹爆“波动光学”那一章，“机械波”部分建议看东南大学的,2021年1月19日
艾莉丝_格雷拉特,大学计算机基础,,大计基,B站官方账号,https://www.bilibili.com/video/BV1EW411u7th,计算机科学与技术、大计基,动画演示丰富，逻辑清晰语言风趣（比学校ppt强多了），了解计算机历史也是这个学科很有趣的一部分,2021年2月7日
许zy,大数据技术原理与应用,,大数据,中国大学mooc,https://www.icourse163.org/course/XMU-1002335004,计算机科学,适合计算机专业的同学们入手学习大数据技术,2021年1月18日
昔往今来,大气污染控制工程,郝吉明,环境工程,爱课程,http://www.icourses.cn/sCourse/course_2961.html,环境工程,环境领域的清华院士开设的大气污染课程，前两讲由郝院士讲授，后续课程由清华的老师讲述，需要一定的环境工程的学习基础,2021年2月9日
魂帝HD,从零开始的Windows10使用教程,Frank,win10系统入门,b站官方账号,https://www.bilibili.com/video/BV1b7411L785,汽车服务工程,前微软大佬，讲解通俗易懂，讲师本人也参与了win10的相关开发，能全面讲解win10系统的同时，还能保证通俗易懂，对小白十分友好,2021年1月27日
,传统武术文化开发,贾岛,文化产业经营与管理,B站（原创）,https://space.bilibili.com/2910534/channel/detail?cid=24685,文化、旅游类,从商业和休闲角度，以传统武术文化为典型，思考传统文化,2021年2月10日
M.urderer,传热学,陶文铨等,能源动力类,爱课程,http://www.icourses.cn/sCourse/course_4133.html,新能源科学与工程（制冷空调）,教材是他写的嗯，讲的很清楚,2021年2月9日
小君的人化世界,传播学：批判性导论,吴畅畅,传播学,中国大学MOOC,https://www.icourse163.org/course/ECNU-1002840005,广告学,主要从批判学派角度讲传播学（和刘海龙老师相比，这位老师会从现实入手，更通俗一些；两位老师的重点基本都不在经验学派，入门的同学推荐看李彬老师的书《传播学引论》，和郭庆光老师的《传播学教程》相比，李彬老师的书更像讲座，没那么晦涩）,2021年1月18日
七月既望,传播心理学,潘亚楠,新闻传播学,中国大学MOOC,,新闻学,心理学和传播学交叉，适合新传专业学生学习，也适合大众学习,2021年2月11日
我不喜欢吃甜的,传播统计学,艾小艾来自地球（up）,新闻与传播学,B站官方账号,搜索老师网名就行，这是他的第一个视频BV114411177V,新闻与传播学,老师自己录制，清楚易懂,2021年1月20日
小君的人化世界,传播理论,刘海龙,传播学,慕课,https://www.icourse163.org/course/RUC-1449339163?tid=1454569455,广告学,建议配合老师写的书《大众传播学理论：范式与流派》食用（这本书也是考研、保研的同学必看的进阶书，入门书见上一条），框架清晰，基本梳理了传播学各大学派的发展过程，介绍了主要的传播理论，但课程更学术化，比较适合作为进阶课程食用,2021年1月18日
小斯,传播理论,刘海龙,传播学,中国大学mooc,,会计跨考新传,,2021年6月13日
世界旅行者,初学者的口琴学习入门,嘉德瑞乐器,音乐,B站up本人,BV1hK411H7A1,24孔复音口琴初学教学,这个视频具有完整的入门教学，一共分10个阶段，根据个人的情况不同可以适当加练，老师讲的非常清楚目前我已经学到第5课，感觉非常好我已经能完整的吹单音曲子了,2021年2月9日
它魔亓,初級微觀經濟學,史晋川,微觀經濟學,爱课程（国家精品课）,http://www.icourses.cn/sCourse/course_6796.html,國際經濟與貿易,老師風趣幽默，講課趣味性高，學識淵博，講課清晰易懂,2021年2月9日
万湿之海,程序设计入门-C语言,翁恺,计算机,mooc,,软件工程,,2021年2月8日
留云龙云,测量学,何彬彬,土木工程,b站,https://www.bilibili.com/video/BV1s64y1d7Xm,土木工程测量,,2021年5月20日
冒蓝火的哒哒哒哒王,操作系统,向勇、陈渝,计算机,Github,https://github.com/chyyuu/os_course_info,测控技术与仪器,极其适合入门和考研，条例清晰，还有一个Demo的操作系统学习。,2021年2月8日
张二麻,财务报表分析,张新民老师,财务报表分析,B站/中国大学MOOC,https://www.icourse163.org/course/UIBE-1003252013,财务管理,适合不想再当韭菜的人，B站上的投资视频看看就好，真想通过投资达到财务自由实现人格独立，做好本职工作再努力下苦功，就从张老师的课程来看吧，如果链接消失，百度搜索张新民老师查找相应课程。,2021年2月8日
Tian.H,材料力学,郭战胜,材料力学,中国大学MOOC,,工程力学,知识点讲解很全！,2021年2月10日
止于云端,材料科学基础,王永欣,材料化学,爱课程,http://www.icourses.cn/sCourse/course_4405.html,材料,建议和评论区ppt一起食用，效果更好,2021年1月16日
驹驹特爱笑,播音主持创作基础,王明军、阎良、刘卓、陈晓鸥、王群、王宇红,播音与主持艺术,中国大学MOOC,https://www.icourse163.org/course/CUC-1462067162,播音与主持艺术,在本门课程中，老师们将以通俗易懂的语言、典型的创作案例、清晰的分析讲解，带领同学们走进播音主持语言创作的艺术世界，激发同学们对播音主持语言艺术的热爱，建立语言艺术创作思维，掌握语言艺术创作的基础能力。,2021年2月10日
Bird,博弈论,Benjamin Polak,经济学,网易公开课,https://open.163.com/newview/movie/free?pid=M6GOEJOME&mid=M7KDCISOB,经济学（金融学/神经经济学）,,2021年2月9日
MagHSK,编译原理（Compilers）,Alex Aiken,计算机,B站（搜索CS-143）,https://www.bilibili.com/video/BV1cE411f78c,计算机科学,CS-143,2021年3月3日
碳碳apartment,宝石鉴定与鉴赏,李耿,宝石材料学,网易公开课,https://open.163.com/newview/movie/free?pid=MAH2S9PHU&mid=MAHAM9A7O,材料化学,无数宝石外行人家，通过他的课走向专业珠宝的道路。,2021年2月9日
墙角的青苔,user-research,Elizabeth Gerber,交互设计,coursera(国外公开课平台,https://www.coursera.org/learn/user-research,交互设计与运营,讲用户调研的，对之后工作还挺有帮助的,2021年2月9日
Stack_Overflow-,STM32F103,刘火良,计算机,B站（作者授权,BV1yW411Y7Gw,计算机,适合对单片机没概念的，但要有数电和C语言基础,2021年2月9日
墙角的青苔,social-computing,Scott Klemmer,交互设计,coursera(国外公开课平台,https://www.coursera.org/learn/social-computing?specialization=interaction-design,交互设计与运营,这章相对没那么重要，主要是一些机遇挑战之类的,2021年2月9日
时间见证恒久,python,,计算机,B站up主（授权发布）,https://www.bilibili.com/video/BV1wD4y1o7AS?p=6&spm_id_from=pageDriver,计算机语言,,2021年1月29日
墙角的青苔,design-principles,Scott Klemmer,交互设计,coursera(国外公开课平台,https://www.coursera.org/learn/design-principles?specialization=interaction-design,交互设计与运营,设计原则、设计规范等等,2021年2月9日
墙角的青苔,designexperiments,Scott Klemmer,交互设计,coursera(国外公开课平台,https://www.coursera.org/learn/designexperiments,交互设计与运营,难度过高，建议跳过。会R语言或数学好的可以试着去挑战,2021年2月9日
Doubllllllz,C++primer精讲（每周六更新）,狗道诗人,C++,B站up主,https://www.bilibili.com/video/BV1wV411U7Fe,软件工程,扔掉c++ primer（拿去当枕头）看这个吧,2021年2月9日
问萱公子,C++语言程序设计,清华教授郑莉,计算机,B站,https://space.bilibili.com/702528832?from=search&seid=16734152127141950145&spm_id_from=333.337.0.0,计算机,老师本人视频，讲的还是很好的,2021年12月6日
eth.er░,c++教程从0到1入门…,,C++,b站官方账号,BV1et411b73Z,自动化,对新手友好，用画图来解释得清楚，有适量的举例来辅助理解,2021年1月16日
霁夜呐,c/c++等编程语言,b站up黑马程序员,编程,B站up主官方号,直接搜,软工,内容适合零基础,2021年1月19日
卖辣条的绅士星,C、Java程序设计,翁恺,计算机,MOOC,,软件工程,思路清晰，简单易懂，适合刚入学的初学者,2021年2月2日
北叶粑粑,c语言教程,b站比特鹏哥,C语言,B站up主,BV1oi4y1g7CF,软件工程,讲的很细，容易理解,2021年2月9日
KnightWJD,C语言教程,鹏哥,C语言,B站官方账号,https://www.bilibili.com/video/BV1oi4y1g7CF?p=1&share_medium=android&share_plat=android&share_source=QQ&share_tag=s_i&timestamp=1610788121&unique_k=pDKXPR,计算机网络技术,讲的非常的细致，并且通俗易懂，（一个人学习C语言除了问题没能能教你怎么解决是很痛苦的）,2021年1月17日
九尺镇,c语言基础入门,C3程序员,c语言,B站官方账号,BV18W411R7zk,软件工程,http://www.52c3.com/qq.html   他的博客。与其他编程讲师相比，他的视频系统性很强，有很完整的一条学习链。他人也很沙雕。,2021年2月9日
求求大家不要再夸我了,C语言基础,c3程序猿,C语言,B站官方账号,https://space.bilibili.com/19935498,计算机科学与技术,老师讲的非常细致，对于一些常见的题也都有讲，基本上和老师讲的内容与题目接轨，看完会对c语言有很深刻的理解,2021年2月9日
吃货阿振,C语言程序设计精髓,苏小红,C语言,网易公开课或mooc,https://open.163.com/newview/movie/free?pid=MEEF19UTM&mid=MEEF36JHK#share-mob,计算机科学与技术,非常的详细，对于许多大一没有基础的学生十分的友好，中间穿插一些实例，不过稍微有点读ppt的感觉，但讲的十分系统详细，这也是我推荐它的理由，然后如果你想十分快速而系统地学完c语言。,2021年1月21日
饺子皮zzzz,C语言,B站UP主 鱼C-小甲鱼,计算机,B站up主,https://www.bilibili.com/video/BV17s411N78s?p=18,计算机科学与技术,适合本科或启蒙学习,2021年2月8日
Mart_Max,c语言,B站 Frank-fuckPPT,计算机,B站,https://www.bilibili.com/video/BV1qE411d7Zx?p=36&spm_id_from=pageDriver,计算机科学与技术,前微软工程师，讲课生动有趣，教会大学里老师不会教你但是必要的知识,2021年4月6日
